word,valence,arousal,valence_scaled,arousal_scaled
admiring,0.867,0.578,0.734,0.156
affetionate,0.949,0.422,0.898,-0.156
affectionated,0.949,0.422,0.898,-0.156
agitated,0.444,0.882,-0.112,0.764
allured,0.804,0.585,0.608,0.17
amazed,0.796,0.779,0.592,0.558
amused,0.942,0.847,0.884,0.694
animated,0.823,0.676,0.646,0.352
bouncy,0.562,0.565,0.124,0.13
calm,0.875,0.1,0.75,-0.8
chill,0.837,0.206,0.674,-0.588
dancing,0.885,0.868,0.77,0.736
dazzled,0.854,0.88,0.708,0.76
dreamy,0.837,0.35,0.674,-0.3
energetic,0.847,0.868,0.694,0.736
fascinated,0.812,0.714,0.624,0.428
fiery,0.418,0.85,-0.164,0.7
happy,1,0.735,1,0.47
heroic,0.89,0.77,0.78,0.54
impatient,0.25,0.708,-0.5,0.416
inspired,0.967,0.702,0.934,0.404
irritated,0.21,0.816,-0.58,0.632
joyful,0.99,0.74,0.98,0.48
love,1,0.519,1,0.038
meditative,0.614,0.12,0.228,-0.76
melancholic,0.181,0.306,-0.638,-0.388
mellowed,0.633,0.069,0.266,-0.862
moved,0.76,0.439,0.52,-0.122
nervous,0.235,0.82,-0.53,0.64
nostalgic,0.458,0.351,-0.084,-0.298
overwhelmed,0.341,0.68,-0.318,0.36
relaxed,0.865,0.09,0.73,-0.82
sad,0.225,0.333,-0.55,-0.334
sensual,0.73,0.79,0.46,0.58
sentimental,0.583,0.378,0.166,-0.244
serene,0.802,0.132,0.604,-0.736
softened,0.7,0.255,0.4,-0.49
soothed,0.625,0.179,0.25,-0.642
sorrowful,0.049,0.422,-0.902,-0.156
spiritual,0.938,0.327,0.876,-0.346
spirituality,0.865,0.281,0.73,-0.438
stimulated,0.74,0.804,0.48,0.608
strong,0.912,0.745,0.824,0.49
tearful,0.208,0.5,-0.584,0
tender,0.63,0.52,0.26,0.04
tense,0.396,0.439,-0.208,-0.122
thrill,0.888,0.837,0.776,0.674
transcendence,0.656,0.608,0.312,0.216
triumphant,0.949,0.837,0.898,0.674
wonder,0.939,0.771,0.878,0.542
