Poem,Emotion
"A Tree
A tree beside the sandy river-beach 
    Holds up its topmost boughs 
Like fingers towards the skies they cannot reach, 
    Earth-bound, heaven amorous. 

This is the soul of man. Body and brain 
Hungry for earth our heavenly flight detain. 

",sad
"Revelation


Someone leaping from the rocks
Past me ran with windblown
locks Like a startled bright surmise
Visible to mortal eyes, ?€?
Just a cheek of frightened rose
That with sudden beauty glows,
Just a footstep like the wind
And a hurried glance behind,
And then nothing, ?€? as a thought
Escapes the mind ere it is caught.
Someone of the heavenly rout
From behind the veil ran out.",sad
"Life And Death

Life, death, - death, life; the words have led for ages
Our thought and consciousness and firmly seemed
Two opposites; but now long-hidden pages
Are opened, liberating truths undreamed.
Life only is, or death is life disguised, -
Life a short death until by Life we are surprised.",peace
"God

Thou who pervadest all the worlds below,
Yet sitst above,
Master of all who work and rule and know,
Servant of Love!

Thou who disdainest not the worm to be 
Nor even the clod,
Therefore we know by that humility
That thou art God.",surprise
"Soul In The Ignorance


Soul in the Ignorance, wake from its stupor.
Flake of the world-fire, spark of Divinity,
Lift up thy mind and thy heart into glory.
Sun in the darkness, recover thy lustre.

One, universal, ensphering creation,
Wheeling no more with inconscient Nature,
Feel thyself God-born, know thyself deathless.
Timeless return to thy immortal existence.",peace
"Winter

It smelt of new rains and of tender
Shoots of plants- and its warmth was the warmth
Of earth groping for roots?€? even my
Soul, I thought, must send its roots somewhere
And, I loved his body without shame,
On winter evenings as cold winds
Chuckled against the white window-panes.",love
"A Losing Battle

How can my love hold him when the other
Flaunts a gaudy lust and is lioness
To his beast? Men are worthless, to trap them
Use the cheapest bait of all, but never
Love, which in a woman must mean tears
And a silence in the blood. 

",sad
"Annette

Annette,
At the dresser.
Pale fingers over mirror-fields
Reaping
That wheat brown hair.
Beauty
Falling as chaff in old mirrors,
While calenders
In all
The cities turn?€?.
",joy
"Krishna

Your body is my prison, Krishna,
I cannot see beyond it.
Your darkness blinds me,
Your love words shut out the wise world's din.
",love
"Love

Until I found you,
I wrote verse, drew pictures,
And, went out with friends
For walks?€?
Now that I love you,
Curled like an old mongrel
My life lies, content,
In you?€?.



",love
