Id,Text,BeginPosition,EndPosition,BeginTime,EndTime,Confidence,SpeakerConfidence,Admiration,Adoration,Aesthetic Appreciation,Amusement,Anger,Annoyance,Anxiety,Awe,Awkwardness,Boredom,Calmness,Concentration,Confusion,Contemplation,Contempt,Contentment,Craving,Determination,Disappointment,Disapproval,Disgust,Distress,Doubt,Ecstasy,Embarrassment,Empathic Pain,Enthusiasm,Entrancement,Envy,Excitement,Fear,Gratitude,Guilt,Horror,Interest,Joy,Love,Nostalgia,Pain,Pride,Realization,Relief,Romance,Sadness,Sarcasm,Satisfaction,Desire,Shame,Surprise (negative),Surprise (positive),Sympathy,Tiredness,Triumph,1,2,3,4,5,6,7,8,9,toxic,severe_toxic,obscene,threat,insult,identity_hate
unknown,<!DOCTYPE,0,9,,,,,0.079088874,0.110085785,0.079744533,0.104005471,0.00236319,0.012109522,0.000771106,0.038135342,0.02025179,0.021235347,0.028949894,0.005730235,0.066464804,0.010279163,0.014163445,0.075975992,0.011517044,0.002435771,0.008134644,0.006353712,0.003948593,0.001868951,0.002057377,0.043772314,0.006520268,0.001570052,0.128757715,0.034458458,0.003076081,0.097870938,0.000256935,0.017562665,0.003091521,0.000734698,0.08492472,0.280535609,0.066788219,0.025961537,0.001600406,0.041742247,0.021372909,0.002414628,0.006394465,0.003186922,0.013323797,0.101507984,0.006942542,0.005969985,0.016221236,0.07514967,0.002273111,0.002954642,0.021501696,0.109873906,0.113641731,0.154844642,0.163963974,0.415911943,0.015143034,0.009789222,0.008342379,0.005889533,,,,,,
unknown,html><html><head><meta,10,32,,,,,0.023136953,0.017978184,0.060377888,0.025910513,0.006646631,0.032214355,0.008837009,0.012777522,0.035035752,0.033251744,0.02239571,0.047481995,0.467501223,0.028940396,0.010775258,0.017120915,0.013483197,0.009731359,0.020402286,0.006828615,0.003781597,0.015669342,0.019414375,0.014772182,0.007619675,0.005459296,0.025439007,0.02744418,0.005152499,0.013911111,0.003149801,0.00280887,0.003581536,0.002812654,0.065204054,0.025466457,0.009775617,0.01067959,0.015742991,0.012408036,0.015215572,0.002232119,0.004214372,0.010001468,0.003706775,0.024348492,0.009815406,0.009227085,0.035400696,0.016387161,0.006897455,0.011052789,0.012609396,0.078993455,0.086135507,0.082239516,0.114530429,0.64254415,0.009765263,0.004602449,0.002452862,0.001963214,,,,,,
unknown,"name=""google""",33,46,,,,,0.021707302,0.015592555,0.056408256,0.026617248,0.006143429,0.031689014,0.00901572,0.01262028,0.030249963,0.031759199,0.020050252,0.056965791,0.452645957,0.028121982,0.008835839,0.015101549,0.012999455,0.011869197,0.018381886,0.005686485,0.003070034,0.015963456,0.016981959,0.014480687,0.006617923,0.004785726,0.033213243,0.025174245,0.004229832,0.019458249,0.003313885,0.002667378,0.002837316,0.002836867,0.074414037,0.02530108,0.007569825,0.012636818,0.015637355,0.013046811,0.016761607,0.002374758,0.003088577,0.008342799,0.003342477,0.024816833,0.007322699,0.007099575,0.038023561,0.020407615,0.00574381,0.01000834,0.01533167,0.106930807,0.087732799,0.070685491,0.08986181,0.670246959,0.012127514,0.005185584,0.003126514,0.002663233,,,,,,
unknown,"content=""notranslate""><meta",47,74,,,,,0.014376553,0.00984183,0.044151779,0.023360793,0.006290599,0.039382208,0.008815858,0.008744096,0.031963624,0.027288588,0.018869322,0.05736021,0.559382677,0.033672903,0.009522595,0.010819426,0.010553651,0.010771292,0.025473671,0.008436054,0.003554653,0.01639856,0.022597607,0.007738368,0.0066839,0.004060483,0.022843711,0.020078611,0.002932284,0.011526188,0.003414613,0.001785338,0.00304466,0.002814071,0.072243579,0.014005117,0.004824306,0.010488669,0.012011001,0.008616138,0.01656507,0.001641369,0.002062144,0.008415436,0.003694299,0.017672226,0.005258617,0.007378431,0.043729823,0.015062148,0.005106061,0.006969307,0.009711473,0.157777652,0.107800402,0.083170563,0.096882209,0.609032333,0.013485531,0.005216346,0.002903903,0.002388079,,,,,,
unknown,"http-equiv=""X-UA-Compatible""",75,103,,,,,0.014115009,0.009481322,0.048079964,0.020931806,0.005540166,0.036019828,0.009617929,0.010012851,0.027446553,0.029318811,0.022127518,0.090819366,0.520054102,0.041189965,0.008994205,0.011560294,0.013934106,0.014411457,0.018489612,0.006694551,0.00312558,0.014411995,0.023355979,0.008689982,0.005647265,0.003244777,0.026499944,0.024939898,0.003396118,0.014506695,0.003734356,0.001650389,0.002435147,0.00279384,0.088032737,0.013566512,0.004057865,0.013907735,0.00933676,0.008771493,0.021351442,0.001872596,0.002220784,0.00512865,0.002530699,0.020516504,0.006151512,0.006036843,0.038689509,0.018932937,0.004072696,0.006549661,0.012015472,0.045252476,0.042247813,0.030603563,0.047014181,0.806925058,0.019245286,0.008382193,0.005978598,0.006005392,,,,,,
unknown,"content=""IE=edge;""><style",104,129,,,,,0.017179666,0.009253802,0.079891041,0.018592225,0.004605687,0.035737291,0.007392157,0.010936519,0.027457986,0.039262015,0.037079927,0.131293163,0.429925054,0.052113626,0.012469859,0.017853653,0.011999327,0.01649376,0.021775573,0.008659245,0.004181668,0.010618251,0.025346261,0.007798622,0.006560589,0.003791134,0.018513042,0.029791204,0.004734724,0.008337487,0.002920876,0.002187314,0.002590853,0.002595017,0.082907505,0.010979413,0.003883896,0.013682248,0.008400975,0.009254099,0.030076921,0.002987762,0.002860554,0.00497782,0.002583842,0.030066365,0.008694966,0.007786891,0.035939641,0.018521192,0.00535741,0.008085884,0.014491211,0.021790922,0.018372605,0.017372172,0.027742237,0.914866567,0.008132091,0.002707442,0.002043159,0.002469444,,,,,,
unknown,"nonce=""_QpiT01lXf7WzQyG72_y9g"">@font-face{font-family:'Roboto';font-style:italic;font-weight:400;src:url(//fonts.gstatic.com/s/roboto/v18/KFOkCnqEu92Fr1Mu51xIIzc.ttf)format('truetype');}@font-face{font-family:'Roboto';font-style:normal;font-weight:300;src:url(//fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmSU5fBBc9.ttf)format('truetype');}@font-face{font-family:'Roboto';font-style:normal;font-weight:400;src:url(//fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxP.ttf)format('truetype');}@font-face{font-family:'Roboto';font-style:normal;font-weight:500;src:url(//fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc9.ttf)format('truetype');}@font-face{font-family:'Roboto';font-style:normal;font-weight:700;src:url(//fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmWUlfBBc9.ttf)format('truetype');}</style><meta",130,949,,,,,0.017473513,0.006584222,0.087737232,0.025279691,0.007938501,0.129852518,0.001933499,0.006527449,0.023660103,0.036713772,0.051078804,0.069423474,0.238217175,0.032136153,0.026007438,0.032534324,0.01290174,0.020315308,0.05526866,0.027468562,0.010083762,0.006748998,0.008982685,0.003086993,0.005606839,0.005159513,0.031663924,0.011867356,0.004621845,0.006905891,0.000386243,0.004413133,0.002553103,0.000754491,0.094940826,0.008255732,0.002458329,0.003659056,0.008184616,0.018997122,0.036754746,0.003358644,0.000763889,0.003392025,0.011244545,0.072912991,0.003432173,0.005749813,0.041178696,0.021333173,0.006425855,0.006365767,0.017203432,0.044430796,0.079510927,0.05508792,0.041295499,0.735839844,0.024705358,0.023777522,0.019795185,0.014594293,,,,,,
unknown,"name=""referrer""",950,965,,,,,0.005766823,0.002436098,0.017887998,0.014024924,0.025151009,0.346408308,0.004577065,0.002783304,0.013647913,0.017573057,0.015968401,0.040929876,0.217904463,0.036088344,0.033970967,0.007563888,0.008766095,0.019894684,0.110060193,0.072157182,0.015841288,0.020666009,0.011642266,0.000798623,0.004157637,0.003703102,0.018910788,0.004971874,0.002015473,0.00453172,0.000887399,0.001525982,0.002134256,0.001050737,0.052562322,0.001973263,0.000964885,0.002893348,0.009707642,0.006708094,0.050482545,0.001386773,0.000250527,0.004818969,0.010491,0.020405723,0.000998871,0.004811523,0.048969306,0.008195373,0.003140044,0.006469302,0.006786846,0.007683665,0.014118232,0.013760196,0.016968321,0.922783434,0.011137069,0.006639792,0.006513477,0.008194224,,,,,,
unknown,"content=""origin""><title>Free",966,994,,,,,0.007466082,0.005575,0.032703079,0.010193322,0.008478248,0.144565374,0.004328223,0.003212807,0.013990712,0.048734523,0.032108374,0.076271467,0.405115694,0.038653951,0.015564896,0.019487659,0.036372926,0.025437968,0.070534818,0.016550208,0.003643451,0.013249262,0.012872078,0.003182659,0.002208261,0.002433321,0.026121348,0.010938722,0.002585161,0.006778537,0.000632603,0.00309416,0.002685728,0.000489254,0.057059322,0.006786698,0.003398637,0.008006063,0.009286663,0.006178539,0.033041421,0.002606868,0.000933758,0.006685616,0.003224343,0.033190809,0.002321322,0.003895616,0.027894104,0.008163114,0.002937314,0.014341475,0.00969598,0.011915246,0.021324629,0.027029676,0.039326016,0.897459447,0.004760788,0.002606251,0.002266463,0.002494166,,,,,,
unknown,of,995,997,,,,,0.011468629,0.007050253,0.043805342,0.008497366,0.006885692,0.11492338,0.003738046,0.004161137,0.011738403,0.032167025,0.034126043,0.088463411,0.408223331,0.04718896,0.015028759,0.020681944,0.031750556,0.024667406,0.059773866,0.018930798,0.003812994,0.010279798,0.013299373,0.002765072,0.001978057,0.00227909,0.028982567,0.01219812,0.002394515,0.006657476,0.000595319,0.003733315,0.002355504,0.000473022,0.081257164,0.005994035,0.003318207,0.008840648,0.005201358,0.006495499,0.040764589,0.002911705,0.000787608,0.004573846,0.002445845,0.041501869,0.002161319,0.003542322,0.027693152,0.010818137,0.003091299,0.007873403,0.010118447,0.01797268,0.048649639,0.047907274,0.060726311,0.799292564,0.010793688,0.008060507,0.006800848,0.006033442,,,,,,
